feature	k__Bacteria.p__Bacillota	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Thermodesulfobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Pseudomonadota	k__Bacteria.p__Actinomycetota	k__Bacteria.p__Cyanobacteriota
Julianne.331.CEC_S246_L001_R1_001_F_filt.fastq.gz	16283	11474	383	67	70	300	0
Julianne.337.CEC_S242_L001_R1_001_F_filt.fastq.gz	9449	3989	112	7	16	0	0
Julianne.351.CEC_S244_L001_R1_001_F_filt.fastq.gz	8038	6234	123	0	24	36	0
Julianne.547.CEC_S233_L001_R1_001_F_filt.fastq.gz	14271	3424	102	0	34	36	91
Julianne.579.CEC_S234_L001_R1_001_F_filt.fastq.gz	15275	12108	251	15	255	164	76
Julianne.582.CEC_S243_L001_R1_001_F_filt.fastq.gz	7355	6216	151	112	123	76	0
Julianne.604.CEC_S235_L001_R1_001_F_filt.fastq.gz	3963	2792	101	25	9	46	0
Julianne.716.CEC_S231_L001_R1_001_F_filt.fastq.gz	8115	10290	227	112	84	68	16
Julianne.719.CEC_S245_L001_R1_001_F_filt.fastq.gz	7130	12400	460	531	21	57	0
Julianne.891.CEC_S220_L001_R1_001_F_filt.fastq.gz	5941	9014	70	8	287	56	4
Rep1.Julianne.536.CEC_S103_L001_R1_001_F_filt.fastq.gz	9153	6194	137	5	33	147	10
Rep1.Julianne.544.CEC_S179_L001_R1_001_F_filt.fastq.gz	7623	3416	264	0	27	109	6
Rep1.Julianne.856.CEC_S172_L001_R1_001_F_filt.fastq.gz	5112	2716	45	0	27	0	0
Rep1.Julianne.872.CEC_S125_L001_R1_001_F_filt.fastq.gz	12059	2886	103	0	28	10	0
Rep1.Julianne.842.CEC_S117_L001_R1_001_F_filt.fastq.gz	7408	4063	85	834	23	63	0
Julianne.542.CEC_S232_L001_R1_001_F_filt.fastq.gz	9279	7128	49	6	36	20	0
Julianne.667.CEC_S236_L001_R1_001_F_filt.fastq.gz	7427	3717	64	2	14	17	0
Julianne.717.CEC_S230_L001_R1_001_F_filt.fastq.gz	6584	7968	255	0	59	52	7
Julianne.841.CEC_S278_L001_R1_001_F_filt.fastq.gz	7307	7121	176	7	63	56	0
Julianne.853.CEC_S280_L001_R1_001_F_filt.fastq.gz	9244	9142	222	62	129	356	0
Julianne.899.CEC_S221_L001_R1_001_F_filt.fastq.gz	9603	9975	166	98	103	90	0
Rep1.Julianne.661.CEC_S111_L001_R1_001_F_filt.fastq.gz	5419	3246	64	2	30	64	8
Rep1.Julianne.835.CEC_S158_L001_R1_001_F_filt.fastq.gz	4589	4521	6	0	45	20	0
Rep1.Julianne.840.CEC_S109_L001_R1_001_F_filt.fastq.gz	4787	5079	570	31	31	85	0
Rep1.Julianne.882.CEC_S165_L001_R1_001_F_filt.fastq.gz	7148	6512	105	0	66	44	12
Julianne.663.CEC_S241_L001_R1_001_F_filt.fastq.gz	6785	6455	99	6	50	44	0
Julianne.791.CEC_S229_L001_R1_001_F_filt.fastq.gz	7230	5865	136	0	37	65	0
Julianne.838.CEC_S281_L001_R1_001_F_filt.fastq.gz	9430	8116	157	7	157	93	2
Julianne.847.CEC_S279_L001_R1_001_F_filt.fastq.gz	5237	9278	761	4858	498	0	21
Julianne.923.CEC_S223_L001_R1_001_F_filt.fastq.gz	7419	8227	212	0	199	142	0
Julianne.924.CEC_S224_L001_R1_001_F_filt.fastq.gz	8179	6395	134	10	25	13	0
Julianne.962.CEC_S222_L001_R1_001_F_filt.fastq.gz	11883	8050	261	13	152	33	8
Rep1.Julianne.540.CEC_S119_L001_R1_001_F_filt.fastq.gz	6485	3074	159	101	27	98	0
Rep1.Julianne.858.CEC_S171_L001_R1_001_F_filt.fastq.gz	7482	5663	110	0	43	55	0
