"","MouseID","SampleID","Genotype","Sex","Study","k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium","Average_Latency"
"1",11,"PFF_Cecum_11","HET","M","PFF_Cecum",0.000771392363215604,46.9
"2",11,"PFF_Colon_11","HET","M","PFF_Colon",0.00186257349311072,46.9
"3",12,"PFF_Colon_12","WT","M","PFF_Colon",0.00116768499660557,55.53333333
"4",12,"PFF_Cecum_12","WT","M","PFF_Cecum",0.000413550677189234,55.53333333
"5",13,"PFF_Colon_13","WT","M","PFF_Colon",0.000213642606439799,77.76666667
"6",13,"PFF_Cecum_13","WT","M","PFF_Cecum",0,77.76666667
"7",14,"PFF_Colon_14","WT","M","PFF_Colon",0,47.13333333
"8",14,"PFF_Cecum_14","WT","M","PFF_Cecum",0,47.13333333
"9",15,"PFF_Cecum_15","MUT","M","PFF_Cecum",0.00538228378799467,30.76666667
"10",15,"PFF_Colon_15","MUT","M","PFF_Colon",0.00453063885267275,30.76666667
"11",16,"PFF_Colon_16","HET","M","PFF_Colon",0.00316006411724296,37.8
"12",16,"PFF_Cecum_16","HET","M","PFF_Cecum",0.0044160449633669,37.8
"13",17,"PFF_Colon_17","WT","F","PFF_Colon",0,78.93333333
"14",17,"PFF_Cecum_17","WT","F","PFF_Cecum",0,78.93333333
"15",18,"PFF_Colon_18","HET","F","PFF_Colon",0.00163576881134133,61.63333333
"16",18,"PFF_Cecum_18","HET","F","PFF_Cecum",0.00146732819592526,61.63333333
"17",19,"PFF_Cecum_19","WT","F","PFF_Cecum",0.00282422051513782,37.96666667
"18",19,"PFF_Colon_19","WT","F","PFF_Colon",0.0028312570781427,37.96666667
"19",21,"PFF_Cecum_21","MUT","M","PFF_Cecum",0,32.16666667
"20",21,"PFF_Colon_21","MUT","M","PFF_Colon",0.000368620354545759,32.16666667
"21",25,"PFF_Cecum_25","WT","F","PFF_Cecum",0.00107983224931569,70.9
"22",25,"PFF_Colon_25","WT","F","PFF_Colon",0.00291573290922673,70.9
"23",27,"PFF_Colon_27","WT","F","PFF_Colon",0.00191121757300851,61.6
"24",27,"PFF_Cecum_27","WT","F","PFF_Cecum",0.00208663550089284,61.6
"25",28,"PFF_Colon_28","HET","M","PFF_Colon",0.00128140099842494,33.26666667
"26",28,"PFF_Cecum_28","HET","M","PFF_Cecum",0.00112221157793896,33.26666667
"27",30,"PFF_Cecum_30","MUT","M","PFF_Cecum",0,47.86666667
"28",30,"PFF_Colon_30","MUT","M","PFF_Colon",0,47.86666667
"29",32,"PFF_Cecum_32","HET","F","PFF_Cecum",0,86.9
"30",32,"PFF_Colon_32","HET","F","PFF_Colon",0,86.9
"31",35,"PFF_Colon_35","MUT","F","PFF_Colon",0.0130199713119276,69.43333333
"32",35,"PFF_Cecum_35","MUT","F","PFF_Cecum",0.0041483575576929,69.43333333
"33",36,"PFF_Colon_36","HET","F","PFF_Colon",0.0020740602642679,52.6
"34",36,"PFF_Cecum_36","HET","F","PFF_Cecum",0.00116147664490206,52.6
"35",37,"PFF_Cecum_37","MUT","F","PFF_Cecum",0.000461120279584506,47.66666667
"36",37,"PFF_Colon_37","MUT","F","PFF_Colon",0.00113017053017555,47.66666667
"37",1904,"PFF_Colon_1904","MUT","M","PFF_Colon",0,41.7
"38",1904,"PFF_Cecum_1904","MUT","M","PFF_Cecum",0,41.7
"39",1906,"PFF_Colon_1906","WT","M","PFF_Colon",0,76.26666667
"40",1906,"PFF_Cecum_1906","WT","M","PFF_Cecum",0,76.26666667
"41",1907,"PFF_Colon_1907","HET","F","PFF_Colon",0.003006696733634,36.7
"42",1907,"PFF_Cecum_1907","HET","F","PFF_Cecum",0.00325310916628282,36.7
"43",1908,"PFF_Colon_1908","HET","F","PFF_Colon",0.000856866105357276,45.46666667
"44",1908,"PFF_Cecum_1908","HET","F","PFF_Cecum",0.00066190559136039,45.46666667
"45",1910,"PFF_Cecum_1910","MUT","F","PFF_Cecum",0,57.46666667
"46",1910,"PFF_Colon_1910","MUT","F","PFF_Colon",0,57.46666667
"47",1913,"PFF_Colon_1913","MUT","M","PFF_Colon",0,37.4
"48",1913,"PFF_Cecum_1913","MUT","M","PFF_Cecum",0.000499779509040129,37.4
"49",1914,"PFF_Colon_1914","WT","M","PFF_Colon",0,49.73333333
"50",1914,"PFF_Cecum_1914","WT","M","PFF_Cecum",0,49.73333333
"51",1917,"PFF_Colon_1917","MUT","F","PFF_Colon",0.000595133905128654,57.3
"52",1917,"PFF_Cecum_1917","MUT","F","PFF_Cecum",0.000864148633564973,57.3
"53",1920,"PFF_Cecum_1920","WT","F","PFF_Cecum",0,63.2
"54",1920,"PFF_Colon_1920","WT","F","PFF_Colon",0,63.2
"55",1921,"PFF_Colon_1921","MUT","F","PFF_Colon",0.000932452074705866,64.43333333
"56",1921,"PFF_Cecum_1921","MUT","F","PFF_Cecum",0.00123354083593907,64.43333333
"57",1937,"PFF_Colon_1937","WT","M","PFF_Colon",0.00118934348239772,44.1
"58",1937,"PFF_Cecum_1937","WT","M","PFF_Cecum",0.00118786549707602,44.1
"59",1938,"PFF_Colon_1938","HET","M","PFF_Colon",0.000219415102028022,53.36666667
"60",1938,"PFF_Cecum_1938","HET","M","PFF_Cecum",0,53.36666667
"61",1941,"PFF_Cecum_1941","WT","F","PFF_Cecum",0,97.2
"62",1941,"PFF_Colon_1941","WT","F","PFF_Colon",0.000134727311920673,97.2
"63",1942,"PFF_Colon_1942","HET","F","PFF_Colon",0.000866604766326215,81.86666667
"64",1942,"PFF_Cecum_1942","HET","F","PFF_Cecum",0.00168277955587818,81.86666667
"65",1943,"PFF_Colon_1943","HET","M","PFF_Colon",0.000650584224633721,50.93333333
"66",1943,"PFF_Cecum_1943","HET","M","PFF_Cecum",0.000294996128175818,50.93333333
"67",1944,"PFF_Colon_1944","MUT","M","PFF_Colon",0.00273129779771146,46.63333333
"68",1944,"PFF_Cecum_1944","MUT","M","PFF_Cecum",0.00141322781232335,46.63333333
"69",1945,"PFF_Colon_1945","HET","M","PFF_Colon",0,48.5
"70",1945,"PFF_Cecum_1945","HET","M","PFF_Cecum",0,48.5
"71",1946,"PFF_Colon_1946","MUT","F","PFF_Colon",0.00411051212938005,38.56666667
